Row number,Year,Stlkey,Station,Setno,IPHC Species Code,Scientific Name,Species Name,SampleType,HooksFished,HooksRetrieved,HooksObserved,Number Observed
534,2023,20230153,2292,29,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,6.0
535,2023,20230153,2292,29,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,4.0
536,2023,20230153,2292,29,103,(includes bivalve and gastropods),Shells,20Hook,792.0,792.0,160.0,1.0
537,2023,20230153,2292,29,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,792.0,792.0,160.0,1.0
538,2023,20230153,2292,29,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
539,2023,20230153,2292,29,216,Solaster sp,Solaster sp (starfish),20Hook,792.0,792.0,160.0,3.0
540,2023,20230153,2292,29,295,,unident. algae,20Hook,792.0,792.0,160.0,1.0
541,2023,20230153,2292,29,303,,Hook with Skin,20Hook,792.0,792.0,160.0,2.0
542,2023,20230153,2292,29,304,,Empty Hook,20Hook,792.0,792.0,160.0,134.0
543,2023,20230153,2292,29,305,,Hook with Bait,20Hook,792.0,792.0,160.0,1.0
544,2023,20230154,2139,30,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,2.0
545,2023,20230154,2139,30,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,12.0
546,2023,20230154,2139,30,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,1.0
547,2023,20230154,2139,30,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,1.0
548,2023,20230154,2139,30,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,792.0,792.0,160.0,1.0
549,2023,20230154,2139,30,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,2.0
550,2023,20230154,2139,30,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
551,2023,20230154,2139,30,303,,Hook with Skin,20Hook,792.0,792.0,160.0,2.0
552,2023,20230154,2139,30,304,,Empty Hook,20Hook,792.0,792.0,160.0,134.0
553,2023,20230155,2136,31,14,Eopsetta jordani,Petrale Sole,20Hook,792.0,792.0,160.0,1.0
554,2023,20230155,2136,31,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,14.0
555,2023,20230155,2136,31,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,3.0
556,2023,20230155,2136,31,303,,Hook with Skin,20Hook,792.0,792.0,160.0,1.0
557,2023,20230155,2136,31,304,,Empty Hook,20Hook,792.0,792.0,160.0,127.0
558,2023,20230156,2133,32,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,6.0
559,2023,20230156,2133,32,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,17.0
560,2023,20230156,2133,32,57,Sebastes pinniger,Canary Rockfish,20Hook,792.0,792.0,160.0,1.0
561,2023,20230156,2133,32,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,792.0,792.0,160.0,2.0
562,2023,20230156,2133,32,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
563,2023,20230156,2133,32,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
564,2023,20230156,2133,32,209,Stylasterias Forreri,Fish-eating Star,20Hook,792.0,792.0,160.0,1.0
565,2023,20230156,2133,32,303,,Hook with Skin,20Hook,792.0,792.0,160.0,19.0
566,2023,20230156,2133,32,304,,Empty Hook,20Hook,792.0,792.0,160.0,83.0
567,2023,20230156,2133,32,305,,Hook with Bait,20Hook,792.0,792.0,160.0,24.0
568,2023,20230157,2134,33,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,5.0
569,2023,20230157,2134,33,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
570,2023,20230157,2134,33,92,Ptilosarcus gurneyi,Sea Pen,20Hook,792.0,792.0,160.0,1.0
571,2023,20230157,2134,33,93,,Sea Anemone,20Hook,792.0,792.0,160.0,1.0
572,2023,20230157,2134,33,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,792.0,792.0,160.0,1.0
573,2023,20230157,2134,33,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,5.0
574,2023,20230157,2134,33,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,3.0
575,2023,20230157,2134,33,303,,Hook with Skin,20Hook,792.0,792.0,160.0,7.0
576,2023,20230157,2134,33,304,,Empty Hook,20Hook,792.0,792.0,160.0,112.0
577,2023,20230157,2134,33,305,,Hook with Bait,20Hook,792.0,792.0,160.0,8.0
578,2023,20230158,2131,34,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,10.0
579,2023,20230158,2131,34,303,,Hook with Skin,20Hook,800.0,800.0,160.0,5.0
580,2023,20230158,2131,34,304,,Empty Hook,20Hook,800.0,800.0,160.0,112.0
581,2023,20230158,2131,34,305,,Hook with Bait,20Hook,800.0,800.0,160.0,3.0
582,2023,20230159,2129,35,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,800.0,800.0,160.0,1.0
583,2023,20230159,2129,35,21,Ophiodon elongatus,Lingcod,20Hook,800.0,800.0,160.0,3.0
584,2023,20230159,2129,35,26,Gadus macrocephalus,Pacific Cod,20Hook,800.0,800.0,160.0,4.0
585,2023,20230159,2129,35,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,3.0
586,2023,20230159,2129,35,87,Sebastes maliger,Quillback Rockfish,20Hook,800.0,800.0,160.0,1.0
587,2023,20230159,2129,35,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800.0,800.0,160.0,1.0
588,2023,20230159,2129,35,303,,Hook with Skin,20Hook,800.0,800.0,160.0,7.0
589,2023,20230159,2129,35,304,,Empty Hook,20Hook,800.0,800.0,160.0,109.0
590,2023,20230159,2129,35,305,,Hook with Bait,20Hook,800.0,800.0,160.0,2.0
591,2023,20230159,2129,35,307,,Bent/Broken/Missing,20Hook,800.0,800.0,160.0,2.0
592,2023,20230160,2130,36,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,6.0
593,2023,20230160,2130,36,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,2.0
594,2023,20230160,2130,36,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,20.0
595,2023,20230160,2130,36,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,3.0
596,2023,20230160,2130,36,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,1.0
597,2023,20230160,2130,36,100,Junkis nonspecificus,Inanimate Object,20Hook,792.0,792.0,160.0,1.0
598,2023,20230160,2130,36,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,3.0
599,2023,20230160,2130,36,209,Stylasterias Forreri,Fish-eating Star,20Hook,792.0,792.0,160.0,3.0
600,2023,20230160,2130,36,303,,Hook with Skin,20Hook,792.0,792.0,160.0,14.0
601,2023,20230160,2130,36,304,,Empty Hook,20Hook,792.0,792.0,160.0,100.0
602,2023,20230160,2130,36,305,,Hook with Bait,20Hook,792.0,792.0,160.0,6.0
603,2023,20230161,2132,37,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,1.0
604,2023,20230161,2132,37,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,6.0
605,2023,20230161,2132,37,103,(includes bivalve and gastropods),Shells,20Hook,792.0,792.0,160.0,1.0
606,2023,20230161,2132,37,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,2.0
607,2023,20230161,2132,37,303,,Hook with Skin,20Hook,792.0,792.0,160.0,14.0
608,2023,20230161,2132,37,304,,Empty Hook,20Hook,792.0,792.0,160.0,89.0
609,2023,20230161,2132,37,305,,Hook with Bait,20Hook,792.0,792.0,160.0,6.0
610,2023,20230162,2287,38,54,Squalus suckleyi,Spiny Dogfish,20Hook,768.0,768.0,160.0,6.0
611,2023,20230162,2287,38,124,Sebastes caurinus,Copper Rockfish,20Hook,768.0,768.0,160.0,6.0
612,2023,20230162,2287,38,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,768.0,768.0,160.0,2.0
613,2023,20230162,2287,38,247,Octopus dofleini,Giant Pacific Octopus,20Hook,768.0,768.0,160.0,1.0
614,2023,20230162,2287,38,303,,Hook with Skin,20Hook,768.0,768.0,160.0,11.0
615,2023,20230162,2287,38,304,,Empty Hook,20Hook,768.0,768.0,160.0,123.0
616,2023,20230162,2287,38,305,,Hook with Bait,20Hook,768.0,768.0,160.0,2.0
617,2023,20230163,2285,39,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,6.0
618,2023,20230163,2285,39,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,2.0
619,2023,20230163,2285,39,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,9.0
620,2023,20230163,2285,39,82,Echinozoa,Sea Urchin,20Hook,792.0,792.0,160.0,2.0
621,2023,20230163,2285,39,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,4.0
622,2023,20230163,2285,39,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,2.0
623,2023,20230163,2285,39,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
624,2023,20230163,2285,39,303,,Hook with Skin,20Hook,792.0,792.0,160.0,19.0
625,2023,20230163,2285,39,304,,Empty Hook,20Hook,792.0,792.0,160.0,84.0
626,2023,20230163,2285,39,305,,Hook with Bait,20Hook,792.0,792.0,160.0,3.0
627,2023,20230164,2289,40,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,7.0
628,2023,20230164,2289,40,92,Ptilosarcus gurneyi,Sea Pen,20Hook,800.0,800.0,160.0,6.0
629,2023,20230164,2289,40,103,(includes bivalve and gastropods),Shells,20Hook,800.0,800.0,160.0,1.0
630,2023,20230164,2289,40,124,Sebastes caurinus,Copper Rockfish,20Hook,800.0,800.0,160.0,1.0
631,2023,20230164,2289,40,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,800.0,800.0,160.0,1.0
632,2023,20230164,2289,40,141,Raja binoculata,Big Skate,20Hook,800.0,800.0,160.0,1.0
633,2023,20230164,2289,40,303,,Hook with Skin,20Hook,800.0,800.0,160.0,19.0
634,2023,20230164,2289,40,304,,Empty Hook,20Hook,800.0,800.0,160.0,106.0
635,2023,20230164,2289,40,305,,Hook with Bait,20Hook,800.0,800.0,160.0,5.0
636,2023,20230266,2007,30,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,782.0,160.0,16.0
637,2023,20230266,2007,30,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,782.0,160.0,1.0
638,2023,20230266,2007,30,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,782.0,160.0,7.0
639,2023,20230266,2007,30,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,782.0,160.0,1.0
640,2023,20230266,2007,30,143,Raja rhina,Longnose Skate,20Hook,792.0,782.0,160.0,1.0
641,2023,20230266,2007,30,209,Stylasterias Forreri,Fish-eating Star,20Hook,792.0,782.0,160.0,3.0
642,2023,20230266,2007,30,303,,Hook with Skin,20Hook,792.0,782.0,160.0,19.0
643,2023,20230266,2007,30,304,,Empty Hook,20Hook,792.0,782.0,160.0,32.0
644,2023,20230266,2007,30,305,,Hook with Bait,20Hook,792.0,782.0,160.0,69.0
645,2023,20230266,2007,30,307,,Bent/Broken/Missing,20Hook,792.0,782.0,160.0,2.0
646,2023,20230267,2209,31,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,1.0
647,2023,20230267,2209,31,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,35.0
648,2023,20230267,2209,31,209,Stylasterias Forreri,Fish-eating Star,20Hook,792.0,792.0,160.0,1.0
649,2023,20230267,2209,31,303,,Hook with Skin,20Hook,792.0,792.0,160.0,55.0
650,2023,20230267,2209,31,304,,Empty Hook,20Hook,792.0,792.0,160.0,43.0
651,2023,20230267,2209,31,305,,Hook with Bait,20Hook,792.0,792.0,160.0,25.0
652,2023,20230268,2208,32,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,800.0,800.0,160.0,34.0
653,2023,20230268,2208,32,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,11.0
654,2023,20230268,2208,32,143,Raja rhina,Longnose Skate,20Hook,800.0,800.0,160.0,3.0
655,2023,20230268,2208,32,303,,Hook with Skin,20Hook,800.0,800.0,160.0,1.0
656,2023,20230268,2208,32,304,,Empty Hook,20Hook,800.0,800.0,160.0,105.0
657,2023,20230268,2208,32,305,,Hook with Bait,20Hook,800.0,800.0,160.0,2.0
658,2023,20230268,2208,32,307,,Bent/Broken/Missing,20Hook,800.0,800.0,160.0,1.0
659,2023,20230269,2003,33,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,2.0
660,2023,20230269,2003,33,26,Gadus macrocephalus,Pacific Cod,20Hook,792.0,792.0,160.0,1.0
661,2023,20230269,2003,33,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,31.0
662,2023,20230269,2003,33,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,22.0
663,2023,20230269,2003,33,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,2.0
664,2023,20230269,2003,33,303,,Hook with Skin,20Hook,792.0,792.0,160.0,10.0
665,2023,20230269,2003,33,304,,Empty Hook,20Hook,792.0,792.0,160.0,87.0
666,2023,20230270,2008,34,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,17.0
667,2023,20230270,2008,34,82,Echinozoa,Sea Urchin,20Hook,792.0,792.0,160.0,1.0
668,2023,20230270,2008,34,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,1.0
669,2023,20230270,2008,34,303,,Hook with Skin,20Hook,792.0,792.0,160.0,29.0
670,2023,20230270,2008,34,304,,Empty Hook,20Hook,792.0,792.0,160.0,61.0
671,2023,20230270,2008,34,305,,Hook with Bait,20Hook,792.0,792.0,160.0,34.0
672,2023,20230271,2009,35,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,12.0
673,2023,20230271,2009,35,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,43.0
674,2023,20230271,2009,35,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,1.0
675,2023,20230271,2009,35,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,2.0
676,2023,20230271,2009,35,303,,Hook with Skin,20Hook,792.0,792.0,160.0,40.0
677,2023,20230271,2009,35,304,,Empty Hook,20Hook,792.0,792.0,160.0,54.0
678,2023,20230271,2009,35,305,,Hook with Bait,20Hook,792.0,792.0,160.0,6.0
679,2023,20230272,2013,36,21,Ophiodon elongatus,Lingcod,20Hook,800.0,800.0,160.0,2.0
680,2023,20230272,2013,36,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,44.0
681,2023,20230272,2013,36,87,Sebastes maliger,Quillback Rockfish,20Hook,800.0,800.0,160.0,1.0
682,2023,20230272,2013,36,143,Raja rhina,Longnose Skate,20Hook,800.0,800.0,160.0,2.0
683,2023,20230272,2013,36,303,,Hook with Skin,20Hook,800.0,800.0,160.0,15.0
684,2023,20230272,2013,36,304,,Empty Hook,20Hook,800.0,800.0,160.0,39.0
685,2023,20230272,2013,36,305,,Hook with Bait,20Hook,800.0,800.0,160.0,48.0
686,2023,20230273,2217,37,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,27.0
687,2023,20230273,2217,37,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,1.0
688,2023,20230273,2217,37,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,2.0
689,2023,20230273,2217,37,158,Scorpaenichthys marmoratus,Cabezon,20Hook,792.0,792.0,160.0,1.0
690,2023,20230273,2217,37,303,,Hook with Skin,20Hook,792.0,792.0,160.0,30.0
691,2023,20230273,2217,37,304,,Empty Hook,20Hook,792.0,792.0,160.0,44.0
692,2023,20230273,2217,37,305,,Hook with Bait,20Hook,792.0,792.0,160.0,40.0
693,2023,20230273,2217,37,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,2.0
694,2023,20230274,2016,38,14,Eopsetta jordani,Petrale Sole,20Hook,792.0,792.0,160.0,1.0
695,2023,20230274,2016,38,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,62.0
696,2023,20230274,2016,38,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,1.0
697,2023,20230274,2016,38,124,Sebastes caurinus,Copper Rockfish,20Hook,792.0,792.0,160.0,1.0
698,2023,20230274,2016,38,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,792.0,792.0,160.0,1.0
699,2023,20230274,2016,38,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
700,2023,20230274,2016,38,303,,Hook with Skin,20Hook,792.0,792.0,160.0,20.0
701,2023,20230274,2016,38,304,,Empty Hook,20Hook,792.0,792.0,160.0,52.0
702,2023,20230274,2016,38,305,,Hook with Bait,20Hook,792.0,792.0,160.0,14.0
703,2023,20230275,2018,39,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,1.0
704,2023,20230275,2018,39,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,31.0
705,2023,20230275,2018,39,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,3.0
706,2023,20230275,2018,39,303,,Hook with Skin,20Hook,792.0,792.0,160.0,3.0
707,2023,20230275,2018,39,304,,Empty Hook,20Hook,792.0,792.0,160.0,119.0
708,2023,20230275,2018,39,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,1.0
709,2023,20230276,2218,40,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,37.0
710,2023,20230276,2218,40,31,Sebastes aleutianus,Rougheye Rockfish,20Hook,792.0,792.0,160.0,1.0
711,2023,20230276,2218,40,81,(includes brittle and basketstars),unident. Starfish,20Hook,792.0,792.0,160.0,1.0
712,2023,20230276,2218,40,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
713,2023,20230276,2218,40,150,Sebastolobus alascanus,Shortspine Thornyhead,20Hook,792.0,792.0,160.0,2.0
714,2023,20230276,2218,40,303,,Hook with Skin,20Hook,792.0,792.0,160.0,4.0
715,2023,20230276,2218,40,304,,Empty Hook,20Hook,792.0,792.0,160.0,113.0
716,2023,20230276,2218,40,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,1.0
717,2023,20230277,2020,41,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,800.0,800.0,160.0,9.0
718,2023,20230277,2020,41,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,36.0
719,2023,20230277,2020,41,57,Sebastes pinniger,Canary Rockfish,20Hook,800.0,800.0,160.0,1.0
720,2023,20230277,2020,41,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,800.0,800.0,160.0,1.0
721,2023,20230277,2020,41,303,,Hook with Skin,20Hook,800.0,800.0,160.0,16.0
722,2023,20230277,2020,41,304,,Empty Hook,20Hook,800.0,800.0,160.0,88.0
723,2023,20230277,2020,41,305,,Hook with Bait,20Hook,800.0,800.0,160.0,5.0
724,2023,20230278,2021,42,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,800.0,800.0,160.0,12.0
725,2023,20230278,2021,42,54,Squalus suckleyi,Spiny Dogfish,20Hook,800.0,800.0,160.0,8.0
726,2023,20230278,2021,42,130,Hexanchus griseus,Sixgill Shark,20Hook,800.0,800.0,160.0,1.0
727,2023,20230278,2021,42,143,Raja rhina,Longnose Skate,20Hook,800.0,800.0,160.0,1.0
728,2023,20230278,2021,42,303,,Hook with Skin,20Hook,800.0,800.0,160.0,19.0
729,2023,20230278,2021,42,304,,Empty Hook,20Hook,800.0,800.0,160.0,93.0
730,2023,20230278,2021,42,305,,Hook with Bait,20Hook,800.0,800.0,160.0,22.0
731,2023,20230279,2026,43,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,1.0
732,2023,20230279,2026,43,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,2.0
733,2023,20230279,2026,43,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,32.0
734,2023,20230279,2026,43,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,25.0
735,2023,20230279,2026,43,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,1.0
736,2023,20230279,2026,43,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,3.0
737,2023,20230279,2026,43,303,,Hook with Skin,20Hook,792.0,792.0,160.0,3.0
738,2023,20230279,2026,43,304,,Empty Hook,20Hook,792.0,792.0,160.0,81.0
739,2023,20230279,2026,43,305,,Hook with Bait,20Hook,792.0,792.0,160.0,3.0
740,2023,20230279,2026,43,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,3.0
741,2023,20230280,2025,44,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,2.0
742,2023,20230280,2025,44,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,6.0
743,2023,20230280,2025,44,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,24.0
744,2023,20230280,2025,44,129,Galeorhinus zyopterus,Soupfin Shark,20Hook,792.0,792.0,160.0,1.0
745,2023,20230280,2025,44,303,,Hook with Skin,20Hook,792.0,792.0,160.0,18.0
746,2023,20230280,2025,44,304,,Empty Hook,20Hook,792.0,792.0,160.0,72.0
747,2023,20230280,2025,44,305,,Hook with Bait,20Hook,792.0,792.0,160.0,14.0
748,2023,20230281,2027,45,21,Ophiodon elongatus,Lingcod,20Hook,792.0,792.0,160.0,1.0
749,2023,20230281,2027,45,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,3.0
750,2023,20230281,2027,45,92,Ptilosarcus gurneyi,Sea Pen,20Hook,792.0,792.0,160.0,1.0
751,2023,20230281,2027,45,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,2.0
752,2023,20230281,2027,45,143,Raja rhina,Longnose Skate,20Hook,792.0,792.0,160.0,1.0
753,2023,20230281,2027,45,296,,unident. organic matter,20Hook,792.0,792.0,160.0,1.0
754,2023,20230281,2027,45,303,,Hook with Skin,20Hook,792.0,792.0,160.0,16.0
755,2023,20230281,2027,45,304,,Empty Hook,20Hook,792.0,792.0,160.0,15.0
756,2023,20230281,2027,45,305,,Hook with Bait,20Hook,792.0,792.0,160.0,117.0
757,2023,20230297,2165,41,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,792.0,792.0,160.0,1.0
758,2023,20230297,2165,41,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,792.0,792.0,160.0,45.0
759,2023,20230297,2165,41,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
760,2023,20230297,2165,41,150,Sebastolobus alascanus,Shortspine Thornyhead,20Hook,792.0,792.0,160.0,3.0
761,2023,20230297,2165,41,303,,Hook with Skin,20Hook,792.0,792.0,160.0,4.0
762,2023,20230297,2165,41,304,,Empty Hook,20Hook,792.0,792.0,160.0,95.0
763,2023,20230297,2165,41,305,,Hook with Bait,20Hook,792.0,792.0,160.0,2.0
764,2023,20230297,2165,41,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,3.0
765,2023,20230298,2156,42,87,Sebastes maliger,Quillback Rockfish,20Hook,792.0,792.0,160.0,1.0
766,2023,20230298,2156,42,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,792.0,792.0,160.0,1.0
767,2023,20230298,2156,42,303,,Hook with Skin,20Hook,792.0,792.0,160.0,4.0
768,2023,20230298,2156,42,304,,Empty Hook,20Hook,792.0,792.0,160.0,107.0
769,2023,20230298,2156,42,305,,Hook with Bait,20Hook,792.0,792.0,160.0,2.0
770,2023,20230299,2326,43,14,Eopsetta jordani,Petrale Sole,20Hook,792.0,792.0,160.0,2.0
771,2023,20230299,2326,43,20,Salmonidae,Unident. Salmon,20Hook,792.0,792.0,160.0,1.0
772,2023,20230299,2326,43,54,Squalus suckleyi,Spiny Dogfish,20Hook,792.0,792.0,160.0,1.0
773,2023,20230299,2326,43,141,Raja binoculata,Big Skate,20Hook,792.0,792.0,160.0,1.0
774,2023,20230299,2326,43,295,,unident. algae,20Hook,792.0,792.0,160.0,1.0
775,2023,20230299,2326,43,304,,Empty Hook,20Hook,792.0,792.0,160.0,135.0
776,2023,20230299,2326,43,307,,Bent/Broken/Missing,20Hook,792.0,792.0,160.0,1.0
777,2023,20230300,2155,44,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,784.0,784.0,160.0,5.0
778,2023,20230300,2155,44,21,Ophiodon elongatus,Lingcod,20Hook,784.0,784.0,160.0,1.0
779,2023,20230300,2155,44,26,Gadus macrocephalus,Pacific Cod,20Hook,784.0,784.0,160.0,9.0
780,2023,20230300,2155,44,54,Squalus suckleyi,Spiny Dogfish,20Hook,784.0,784.0,160.0,8.0
781,2023,20230300,2155,44,89,Sebastes ruberrimus,Yelloweye Rockfish,20Hook,784.0,784.0,160.0,1.0
782,2023,20230300,2155,44,141,Raja binoculata,Big Skate,20Hook,784.0,784.0,160.0,1.0
783,2023,20230300,2155,44,143,Raja rhina,Longnose Skate,20Hook,784.0,784.0,160.0,1.0
784,2023,20230300,2155,44,304,,Empty Hook,20Hook,784.0,784.0,160.0,114.0
785,2023,20230301,2164,45,27,Anoplopoma fimbria,Sablefish (Blackcod),20Hook,784.0,784.0,160.0,9.0
786,2023,20230301,2164,45,31,Sebastes aleutianus,Rougheye Rockfish,20Hook,784.0,784.0,160.0,2.0
787,2023,20230301,2164,45,90,Sebastes babcocki,Redbanded Rockfish,20Hook,784.0,784.0,160.0,2.0
788,2023,20230301,2164,45,143,Raja rhina,Longnose Skate,20Hook,784.0,784.0,160.0,1.0
789,2023,20230301,2164,45,221,Stylaster campylecus,Stylaster campylecus (coral),20Hook,784.0,784.0,160.0,1.0
790,2023,20230301,2164,45,303,,Hook with Skin,20Hook,784.0,784.0,160.0,3.0
791,2023,20230301,2164,45,304,,Empty Hook,20Hook,784.0,784.0,160.0,130.0
792,2023,20230301,2164,45,305,,Hook with Bait,20Hook,784.0,784.0,160.0,2.0
793,2023,20230301,2164,45,307,,Bent/Broken/Missing,20Hook,784.0,784.0,160.0,7.0
794,2023,20230302,2154,46,26,Gadus macrocephalus,Pacific Cod,20Hook,808.0,808.0,160.0,1.0
795,2023,20230302,2154,46,54,Squalus suckleyi,Spiny Dogfish,20Hook,808.0,808.0,160.0,19.0
796,2023,20230302,2154,46,143,Raja rhina,Longnose Skate,20Hook,808.0,808.0,160.0,1.0
797,2023,20230302,2154,46,303,,Hook with Skin,20Hook,808.0,808.0,160.0,1.0
798,2023,20230302,2154,46,304,,Empty Hook,20Hook,808.0,808.0,160.0,136.0
799,2023,20230303,2153,47,2,Atheresthes stomias,Arrowtooth Flounder,20Hook,800.0,800.0,160.0,9.0
